;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14
E1;-1.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E2;10.0;-1.0;8.5;-1.0;-1.0;-1.0;-1.0;-1.0;10.0;3.5;-1.0;-1.0;-1.0;-1.0
E3;-1.0;8.5;-1.0;6.3;-1.0;-1.0;-1.0;-1.0;9.4;-1.0;-1.0;-1.0;18.7;-1.0
E4;-1.0;-1.0;6.3;-1.0;13.0;-1.0;-1.0;15.3;-1.0;-1.0;-1.0;-1.0;12.8;-1.0
E5;-1.0;-1.0;-1.0;13.0;-1.0;3.0;2.4;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E6;-1.0;-1.0;-1.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E7;-1.0;-1.0;-1.0;-1.0;2.4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E8;-1.0;-1.0;-1.0;-1.0;30.0;-1.0;-1.0;-1.0;9.6;-1.0;-1.0;6.4;-1.0;-1.0
E9;-1.0;10.0;9.4;-1.0;-1.0;-1.0;-1.0;9.6;-1.0;-1.0;12.2;-1.0;-1.0;-1.0
E10;-1.0;3.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E11;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.2;-1.0;-1.0;-1.0;-1.0;-1.0
E12;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E13;-1.0;-1.0;18.7;12.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.1
E14;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.1;-1.0
