;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14
E1;-1.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E2;10.0;-1.0;08.5;-1.0;-1.0;-1.0;-1.0;-1.0;10.0;03.5;-1.0;-1.0;-1.0;-1.0
E3;-1.0;08.5;-1.0;06.3;-1.0;-1.0;-1.0;-1.0;09.4;-1.0;-1.0;-1.0;18.7;-1.0
E4;-1.0;-1.0;06.3;-1.0;13.0;-1.0;-1.0;15.3;-1.0;-1.0;-1.0;-1.0;12.8;-1.0
E5;-1.0;-1.0;-1.0;13.0;-1.0;03.0;02.4;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E6;-1.0;-1.0;-1.0;-1.0;03.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E7;-1.0;-1.0;-1.0;-1.0;02.4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E8;-1.0;-1.0;-1.0;-1.0;30.0;-1.0;-1.0;-1.0;09.6;-1.0;-1.0;06.4;-1.0;-1.0
E9;-1.0;10.0;09.4;-1.0;-1.0;-1.0;-1.0;09.6;-1.0;-1.0;12.2;-1.0;-1.0;-1.0
E10;-1.0;03.5;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E11;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.2;-1.0;-1.0;-1.0;-1.0;-1.0
E12;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;06.4;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
E13;-1.0;-1.0;18.7;12.8;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;05.1
E14;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;05.1;-1.0
